ip_a,ip_b,mac_a,mac_b,port_a,port_b,prot,tran_prot,ts_start,ts_end,f4b_a,f4b_b,sfp_a,sfp_b,packets_a,bytes_a,packets_b,bytes_b,min_load_a,mean_load_a,max_load_a,stdv_load_a,min_load_b,mean_load_b,max_load_b,stdv_load_b,min_iat_a,mean_iat_a,max_iat_a,stdv_iat_a,min_iat_b,mean_iat_b,max_iat_b,stdv_iat_b
b2d0686037b1,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52044,HTTP,6,1571589182,1571589182,48545450,47455420,1410,81,6,4031,6,81,0,672,1410,674,0,14,81,30,14926,42951,71238,19676,0,17406,68027,25033
b2d0686037b1,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52047,HTTP,6,1571589184,1571589184,48545450,47455420,1410,260,6,1776,6,260,0,296,1410,515,0,43,260,97,66,21371,56468,22690,0,7683,31893,11850
e18b52a294fd,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52003,HTTPS,6,1571589129,1571589190,16030300,16030100,1300,213,16,3641,15,1245,0,228,1300,449,0,83,869,218,74,604146,7131815,1693338,0,3428533,10105898,4696176
e18b52a294fd,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52004,HTTPS,6,1571589129,1571589192,16030300,16030100,1300,213,20,3641,20,8655,0,182,1300,412,0,433,1410,579,36,616739,9132110,1958053,0,2546065,10101157,4315663
36eed7091ad3,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52048,HTTPS,6,1571589184,1571589193,16030300,16030102,212,577,12,1266,11,1181,0,106,564,169,0,107,577,183,337,20387,54558,19619,0,779625,8491903,2438907
67c550339ebd,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52046,HTTPS,6,1571589183,1571589193,16030300,16030102,212,583,12,1785,12,2177,0,149,564,202,0,181,1159,335,60,22687,53495,18991,0,791955,9400463,2595643
2d1e31768e2d,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52052,HTTPS,6,1571589201,1571589203,16030300,16030102,1410,517,13,5782,12,1200,0,445,1410,538,0,100,517,177,92,19785,45821,17386,0,131142,1521113,419207
2d1e31768e2d,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52053,HTTPS,6,1571589201,1571589203,16030300,16030102,212,577,14,1831,13,2004,0,131,564,186,0,154,979,284,68,18424,45679,17723,0,102154,1290800,343159
2d1e31768e2d,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52055,HTTPS,6,1571589207,1571589213,16030300,16030102,212,577,16,1838,15,6189,0,115,564,184,0,413,1380,530,87,25809,56360,20967,0,358494,5258888,1309843
b2d0686037b1,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52059,HTTP,6,1571589217,1571589217,48545450,47455420,1410,281,7,3891,5,281,0,556,1410,649,0,56,281,112,77,13887,43222,17038,0,3955,18415,7234
b2d0686037b1,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52062,HTTP,6,1571589221,1571589222,48545450,47455420,1410,81,7,4031,6,81,0,576,1410,666,0,14,81,30,69,12948,41667,17327,0,43356,128548,54574
b2d0686037b1,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52067,HTTP,6,1571589224,1571589225,48545450,47455420,1410,81,7,4031,6,81,0,576,1410,666,0,14,81,30,77,14230,56596,21598,0,13090,64329,23445
9e1e2e1d98e6,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52060,HTTP,6,1571589217,1571589225,48545450,47455420,439,517,3,439,5,517,0,146,439,207,0,103,517,207,3976,27956,43240,17168,0,1519184,7500680,2990877
efeac4899a79,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52061,HTTP,6,1571589217,1571589225,48545450,47455420,1410,383,6,4032,6,383,0,672,1410,596,0,64,383,143,71,36826,140827,49764,0,1174216,7016383,2612707
67c550339ebd,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52069,HTTPS,6,1571589230,1571589233,16030300,16030102,212,583,14,1941,12,2036,0,139,564,202,0,170,1018,302,75,17567,46832,18560,0,267556,3078163,847677
eff474b67cae,b73bbb57a73a,,,5355,53070,Unknown_UDP,17,1571589113,1571589113,0,c9880000,0,28,0,0,2,56,0,0,0,0,28,28,28,0,0,0,0,0,0,43194,86388,43194
e0ddfb0bdabf,d9d33f9d2382,824ec8a8e2da,d96b0fddf228,5355,64982,Unknown_UDP,17,1571589113,1571589113,0,c9880000,0,28,0,0,2,56,0,0,0,0,28,28,28,0,0,0,0,0,0,43197,86394,43197
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,64050,DNS,17,1571589113,1571589115,ef2a8180,ef2a0100,50,34,1,50,2,68,50,50,50,0,34,34,34,0,36234,36234,36234,0,0,997596,1995192,997596
bb6d068e7482,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,57345,Unknown_UDP,17,1571589115,1571589115,c3513034,c3513034,61,82,1,61,1,82,61,61,61,0,82,82,82,0,35867,35867,35867,0,0,0,0,0
eff474b67cae,b73bbb57a73a,,,5355,62107,Unknown_UDP,17,1571589119,1571589119,0,078c0000,0,28,0,0,2,56,0,0,0,0,28,28,28,0,0,0,0,0,0,60070,120140,60070
e0ddfb0bdabf,d9d33f9d2382,824ec8a8e2da,d96b0fddf228,5355,61965,Unknown_UDP,17,1571589119,1571589119,0,078c0000,0,28,0,0,2,56,0,0,0,0,28,28,28,0,0,0,0,0,0,60095,120190,60095
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,64653,DNS,17,1571589119,1571589119,6a888180,6a880100,97,43,1,97,1,43,97,97,97,0,43,43,43,0,39144,39144,39144,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,62984,DNS,17,1571589119,1571589119,e7c18180,e7c10100,58,42,1,58,1,42,58,58,58,0,42,42,42,0,348,348,348,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,61655,DNS,17,1571589119,1571589119,31f78180,31f70100,42,42,1,42,1,42,42,42,42,0,42,42,42,0,319,319,319,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,52016,DNS,17,1571589121,1571589121,c8fa8180,c8fa0100,162,55,1,162,1,55,162,162,162,0,55,55,55,0,40554,40554,40554,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,50457,DNS,17,1571589121,1571589121,f2918180,f2910100,111,47,1,111,1,47,111,111,111,0,47,47,47,0,422,422,422,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,58532,DNS,17,1571589122,1571589122,74898180,74890100,49,33,1,49,1,33,49,49,49,0,33,33,33,0,416,416,416,0,0,0,0,0
2d1e31768e2d,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52073,HTTPS,6,1571589238,1571589243,16030300,16030102,212,577,18,3325,16,2494,0,185,1260,311,0,156,1240,325,47,21411,60357,20270,0,318315,4984730,1204963
8e1d32410e65,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52072,HTTPS,6,1571589237,1571589243,16030300,16030102,212,577,11,1266,11,1181,0,115,564,173,0,107,577,183,67,24787,57698,20815,0,501871,5408416,1551702
2d1e31768e2d,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52071,HTTPS,6,1571589237,1571589243,16030300,16030102,212,577,13,1350,12,1538,0,104,564,179,0,128,741,241,62,21223,61705,18190,0,464685,5404527,1489658
31472f8bea4a,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,51989,HTTPS,6,1571589121,1571589248,16030300,16030102,1410,517,74,74660,66,2939,0,1009,1410,595,0,45,517,133,89,76083,434425,71429,0,1827746,10108963,3757014
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,58024,DNS,17,1571589128,1571589128,48898180,48890100,230,34,1,230,1,34,230,230,230,0,34,34,34,0,39018,39018,39018,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,50752,DNS,17,1571589128,1571589128,013c8180,013c0100,115,51,1,115,1,51,115,115,115,0,51,51,51,0,363,363,363,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,49606,DNS,17,1571589128,1571589128,4d9f8180,4d9f0100,275,51,1,275,1,51,275,275,275,0,51,51,51,0,35881,35881,35881,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,59558,DNS,17,1571589128,1571589128,4ffc8183,4ffc0100,43,43,1,43,1,43,43,43,43,0,43,43,43,0,786,786,786,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,50033,DNS,17,1571589129,1571589129,877e8180,8.77E+102,305,48,1,305,1,48,305,305,305,0,48,48,48,0,37998,37998,37998,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,58117,DNS,17,1571589129,1571589129,e4f18180,e4f10100,205,77,1,205,1,77,205,205,205,0,77,77,77,0,432,432,432,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,49456,DNS,17,1571589129,1571589129,75e08180,7.50E+101,155,77,1,155,1,77,155,155,155,0,77,77,77,0,40065,40065,40065,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,51138,DNS,17,1571589129,1571589129,84ba8180,84ba0100,81,49,1,81,1,49,81,81,81,0,49,49,49,0,41123,41123,41123,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,60775,DNS,17,1571589127,1571589129,8c198180,8c190100,157,53,1,157,2,106,157,157,157,0,53,53,53,0,37409,37409,37409,0,0,997314,1994628,997314
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,58083,DNS,17,1571589129,1571589129,6bb48180,6bb40100,81,49,1,81,1,49,81,81,81,0,49,49,49,0,211,211,211,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,59275,DNS,17,1571589129,1571589129,4be78180,4be70100,105,49,1,105,1,49,105,105,105,0,49,49,49,0,40152,40152,40152,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,64503,DNS,17,1571589130,1571589130,2d188180,2d180100,111,47,1,111,1,47,111,111,111,0,47,47,47,0,524,524,524,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,63485,DNS,17,1571589129,1571589131,3ee98180,3ee90100,81,49,1,81,2,98,81,81,81,0,49,49,49,0,416,416,416,0,0,999940,1999879,999940
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,51228,DNS,17,1571589132,1571589132,f70b8180,f70b0100,160,56,1,160,1,56,160,160,160,0,56,56,56,0,42668,42668,42668,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,52262,DNS,17,1571589132,1571589132,05e08180,5.00E+100,163,56,1,163,1,56,163,163,163,0,56,56,56,0,345,345,345,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,63959,DNS,17,1571589132,1571589132,6b658180,6b650100,111,47,1,111,1,47,111,111,111,0,47,47,47,0,601,601,601,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,65467,DNS,17,1571589132,1571589132,0b208180,0b200100,163,56,1,163,1,56,163,163,163,0,56,56,56,0,287,287,287,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,63526,DNS,17,1571589132,1571589132,5aea8180,5aea0100,271,47,1,271,1,47,271,271,271,0,47,47,47,0,41929,41929,41929,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,54522,DNS,17,1571589133,1571589133,4a5e8180,4a5e0100,45,29,1,45,1,29,45,45,45,0,29,29,29,0,39261,39261,39261,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,61237,DNS,17,1571589133,1571589133,b18d8180,b18d0100,200,42,1,200,1,42,200,200,200,0,42,42,42,0,44310,44310,44310,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,62866,DNS,17,1571589133,1571589135,9af78180,9af70100,45,29,1,45,2,58,45,45,45,0,29,29,29,0,412,412,412,0,0,1012565,2025130,1012565
